"Data Source","World Development Indicators",

"Last Updated Date","2021-07-21",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Bhutan","BTN","CO2 emissions (kt)","EN.ATM.CO2E.KT","","","","","","","","","","","3.667","3.667","3.667","3.667","3.667","3.667","3.667","7.334","11.001","22.002","22.002","25.669","33.003","29.336","51.338","62.339","55.005","102.676","110.01","62.339","130","170","200","170","190","230","280","370","360","360","370","360","400","360","310","410","400","390","400","370","470","670","760","850","940","960","1230","1330","1380","","",
"Botswana","BWA","CO2 emissions (kt)","EN.ATM.CO2E.KT","","","","","","","","","","","","","22.002","51.338","88.008","187.017","594.054","781.071","832.409","942.419","986.423","1008.425","1100.1","1030.427","1045.095","1158.772","1067.097","1239.446","1301.785","1430.13","2810","2740","3300","3250","3080","3190","2920","3070","3680","3860","4030","3870","4030","3920","3970","4280","4090","4320","4390","4090","3370","4000","5130","5560","7130","7210","7120","7870","8210","","",
"Central African Republic","CAF","CO2 emissions (kt)","EN.ATM.CO2E.KT","88.008","88.008","73.34","73.34","73.34","88.008","84.341","91.675","183.35","187.017","209.019","183.35","168.682","161.348","113.677","102.676","128.345","128.345","146.68","102.676","106.343","135.679","143.013","146.68","150.347","161.348","161.348","260.357","231.021","249.356","160","150","150","160","160","160","170","170","230","240","240","250","250","240","240","240","260","260","260","260","270","290","300","300","300","310","310","310","330","","",
"Canada","CAN","CO2 emissions (kt)","EN.ATM.CO2E.KT","192895.201","194182.318","207185.5","211109.19","237801.283","252153.921","259319.239","281896.958","303539.592","307400.943","341485.708","352607.719","381136.979","381621.023","389970.782","397143.434","399317.965","408151.768","415896.472","442067.851","443233.957","430003.421","414811.04","408687.15","425595.687","422079.034","405053.153","431349.21","456053.789","463274.112","419120","412930","426000","422680","438820","449500","463160","478530","486760","495140","515000","506940","525470","545360","537250","549970","541070","571310","550200","520800","535030","547720","547140","556350","561830","558800","550480","562260","574400","","",
"Central Europe and the Baltics","CEB","CO2 emissions (kt)","EN.ATM.CO2E.KT","477930.983561213","503661.023370562","539156.571814832","583019.435263968","626292.435775424","645746.989331124","666310.266741907","693187.262263411","740157.829523101","795495.711787657","827812.554401097","852925.422803429","890638.418957866","927881.709439706","957970.180955245","1022139.6222034","1082704.34549906","1126889.44888637","1184919.94622756","1197410.84010232","1229574.75528747","1154563.85171252","1184067.92198424","1195116.928678","1193598.57778287","1215199.57702846","1237084.58435515","1271351.25167925","1227739.62614802","1192664.62813154","988720","912230","848250","825880","803900","809240","832780","807530","759130","717720","708640","719870","705970","737230","736270","734590","750980","757920","740540","683460","708620","708790","682080","656190","635680","645360","656330","680750","676470","","",
"Switzerland","CHE","CO2 emissions (kt)","EN.ATM.CO2E.KT","19523.108","20388.52","24154.529","29104.979","28166.227","30370.094","31528.866","32562.96","36028.275","38096.463","40296.663","41943.146","42973.573","46262.872","41481.104","39097.554","40483.68","41085.068","42218.171","39911.628","40538.685","38859.199","36629.663","40069.309","39174.561","39827.287","42295.178","40252.659","40711.034","39467.921","43330","45670","45700","43450","42590","43440","44010","42750","44250","44530","43710","45160","43570","44840","45280","45850","45480","43540","44960","43670","45210","41190","42470","43480","39730","39030","39610","38620","37480","","",
"Channel Islands","CHI","CO2 emissions (kt)","EN.ATM.CO2E.KT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","CO2 emissions (kt)","EN.ATM.CO2E.KT","13490.893","14473.649","16725.187","17355.911","17524.593","17766.615","18793.375","19259.084","21224.596","22555.717","24664.242","27095.463","28191.896","27652.847","25955.026","23014.092","24103.191","23109.434","22948.086","24862.26","25265.63","24554.232","20615.874","20839.561","22200.018","21503.288","22247.689","22673.061","26926.781","32386.944","30410","29560","31490","32300","35380","38250","44060","50560","51410","53770","49820","47870","48690","49910","54730","55720","57050","64740","68250","65370","69720","76470","78490","82940","76390","81970","86160","87040","86620","","",
"China","CHN","CO2 emissions (kt)","EN.ATM.CO2E.KT","780726.302","552066.85","440359.029","436695.696","436923.05","475972.933","522789.522","433234.048","468928.626","577237.138","771617.474","876633.02","931575.681","968542.708","988014.478","1145607.47","1196193.735","1310310.775","1462168.579","1494859.884","1467192.369","1451501.276","1580260.647","1667029.201","1814908.31","1966553.428","2068969.071","2209708.531","2369501.723","2408540.605","2173360","2302190","2418180","2643530","2763900","3084870","3064880","3128650","3232120","3149200","3344090","3526750","3808330","4413300","5121830","5819120","6431910","6988210","7195010","7715110","8470570","9278250","9533210","9936680","9894940","9830430","9814310","10017770","10313460","","",
"Cote d'Ivoire","CIV","CO2 emissions (kt)","EN.ATM.CO2E.KT","462.042","553.717","586.72","623.39","762.736","1173.44","1294.451","1488.802","1763.827","2086.523","2442.222","2706.246","3014.274","3208.625","3560.657","3989.696","3964.027","4055.702","4818.438","5423.493","6222.899","4466.406","6109.222","4840.44","5405.158","7326.666","5966.209","7682.365","9160.166","8522.108","2710","2790","2770","2960","3090","3260","3880","4790","4830","6690","6330","6260","6380","5150","5420","5810","5630","5550","6360","5930","6220","5990","7890","8460","8960","9560","9320","10380","9910","","",
